Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,Israel,2010,EXPIMP,Textiles and Clothing,38.39,308.07,0.2,0.52,0.01,7.04,-85.57,21.45,29.38,20.0,85.0,10.0,0.0,5.0,45.0,0.0,0.0,299.93,8.14,21.45,29.38,20.0,85.0,10.0,0.0,5.0,45.0,0.0,0.0,299.93,8.14
Kenya,Italy,2010,EXPIMP,Textiles and Clothing,1637.32,1296.83,3.99,0.86,0.67,4.62,79.25,23.68,16.3,151.0,93.38,5.3,0.0,1.32,50.0,0.0,0.0,805.29,491.54,23.68,16.3,151.0,93.38,5.3,0.0,1.32,50.0,0.0,0.0,805.29,491.54
Kenya,Jamaica,2010,EXPIMP,Textiles and Clothing,0.0,0.7,,18.01,,,,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.7,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.7,0.0
Kenya,Jordan,2010,EXPIMP,Textiles and Clothing,348.18,13.59,16.93,0.14,1.5,1.57,2.21,27.5,13.13,2.0,50.0,0.0,0.0,50.0,45.0,10.0,0.0,13.59,0.0,27.5,13.13,2.0,50.0,0.0,0.0,50.0,45.0,10.0,0.0,13.59,0.0
Kenya,Japan,2010,EXPIMP,Textiles and Clothing,261.25,22758.49,0.99,3.1,0.2,2.71,48.64,22.73,2.84,55.0,89.09,9.09,0.0,1.82,45.0,0.0,0.0,4762.43,17996.05,22.73,2.84,55.0,89.09,9.09,0.0,1.82,45.0,0.0,0.0,4762.43,17996.05
Kenya,Cambodia,2010,EXPIMP,Textiles and Clothing,1.39,515.43,23.25,95.27,0.42,17.01,-68.72,26.67,25.02,12.0,91.67,0.0,0.0,8.33,45.0,25.0,0.0,515.43,0.0,26.67,25.02,12.0,91.67,0.0,0.0,8.33,45.0,25.0,0.0,515.43,0.0
Kenya,"Korea, Rep.",2010,EXPIMP,Textiles and Clothing,0.11,5903.35,0.0,2.37,0.77,15.44,85.75,21.7,21.61,90.0,92.22,6.67,0.0,1.11,50.0,0.0,0.0,3861.12,2042.23,21.7,21.61,90.0,92.22,6.67,0.0,1.11,50.0,0.0,0.0,3861.12,2042.23
Kenya,Kuwait,2010,EXPIMP,Textiles and Clothing,189.01,30.81,3.2,0.09,0.83,,,27.22,29.71,9.0,88.89,0.0,0.0,11.11,45.0,25.0,0.0,30.81,0.0,27.22,29.71,9.0,88.89,0.0,0.0,11.11,45.0,25.0,0.0,30.81,0.0
Kenya,Lebanon,2010,EXPIMP,Textiles and Clothing,35.02,413.32,2.89,15.01,0.69,0.54,47.73,23.75,4.45,4.0,50.0,25.0,0.0,25.0,45.0,0.0,0.0,41.23,372.09,23.75,4.45,4.0,50.0,25.0,0.0,25.0,45.0,0.0,0.0,41.23,372.09
Kenya,Liberia,2010,EXPIMP,Textiles and Clothing,0.0,32.72,,71.42,,,,27.86,44.84,7.0,85.71,0.0,0.0,14.29,45.0,25.0,0.0,32.72,0.0,27.86,44.84,7.0,85.71,0.0,0.0,14.29,45.0,25.0,0.0,32.72,0.0
Kenya,Libya,2010,EXPIMP,Textiles and Clothing,178.38,2.27,79.2,9.02,72.26,,,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,2.27,0.0
Kenya,Sri Lanka,2010,EXPIMP,Textiles and Clothing,27.65,290.19,0.25,2.78,,,,24.25,21.97,31.0,93.55,3.23,0.0,3.23,50.0,0.0,0.0,262.08,28.11,24.25,21.97,31.0,93.55,3.23,0.0,3.23,50.0,0.0,0.0,262.08,28.11
Kenya,Lesotho,2010,EXPIMP,Textiles and Clothing,0.41,198.95,3.79,76.0,,,,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,198.95,0.0,25.0,25.0,2.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,198.95,0.0
Kenya,Luxembourg,2010,EXPIMP,Textiles and Clothing,0.0,29.69,,1.7,,,,17.5,11.24,4.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,29.69,0.0,17.5,11.24,4.0,100.0,0.0,0.0,0.0,25.0,10.0,0.0,29.69,0.0
Kenya,Latvia,2010,EXPIMP,Textiles and Clothing,0.0,42.1,,1.92,,,,35.0,44.42,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,42.1,0.0,35.0,44.42,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,42.1,0.0
Kenya,Morocco,2010,EXPIMP,Textiles and Clothing,1321.73,549.48,94.05,4.92,9.64,1.02,-14.8,21.25,6.97,8.0,62.5,25.0,0.0,12.5,45.0,0.0,0.0,87.13,462.35,21.25,6.97,8.0,62.5,25.0,0.0,12.5,45.0,0.0,0.0,87.13,462.35
Kenya,Madagascar,2010,EXPIMP,Textiles and Clothing,462.02,30.03,10.69,0.5,5.61,-6.56,829.17,0.0,0.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02,27.86,25.2,7.0,85.71,0.0,0.0,14.29,45.0,25.0,0.0,30.02,0.0
Kenya,Mexico,2010,EXPIMP,Textiles and Clothing,441.43,729.51,59.24,8.05,24.66,9.73,151.42,20.83,2.75,6.0,83.33,16.67,0.0,0.0,25.0,0.0,0.0,80.14,649.37,20.83,2.75,6.0,83.33,16.67,0.0,0.0,25.0,0.0,0.0,80.14,649.37
Kenya,Mali,2010,EXPIMP,Textiles and Clothing,115.46,1.04,43.29,1.84,4.09,,,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.04,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.04,0.0
Kenya,Malta,2010,EXPIMP,Textiles and Clothing,2.41,1.93,0.12,0.15,1.21,-1.97,29.59,31.67,43.84,3.0,66.67,0.0,0.0,33.33,45.0,25.0,0.0,1.93,0.0,31.67,43.84,3.0,66.67,0.0,0.0,33.33,45.0,25.0,0.0,1.93,0.0
Kenya,Myanmar,2010,EXPIMP,Textiles and Clothing,0.0,0.51,,2.53,10.4,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.51,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.51,0.0
